task_id,benchmark,model,status,error_type,latency_sec
HumanEval/0,humaneval,llama-3.3-70b,PASS,None,1.188
HumanEval/1,humaneval,llama-3.3-70b,PASS,None,0.416
HumanEval/2,humaneval,llama-3.3-70b,PASS,None,0.2
HumanEval/0,humaneval,gpt-oss-120b,PASS,None,0.53
HumanEval/1,humaneval,gpt-oss-120b,PASS,None,0.96
HumanEval/2,humaneval,gpt-oss-120b,PASS,None,0.435
HumanEval/3,humaneval,llama-3.3-70b,PASS,None,1.051
HumanEval/4,humaneval,llama-3.3-70b,PASS,None,0.617
HumanEval/5,humaneval,llama-3.3-70b,PASS,None,0.535
HumanEval/6,humaneval,llama-3.3-70b,PASS,None,0.504
HumanEval/7,humaneval,llama-3.3-70b,PASS,None,0.455
HumanEval/8,humaneval,llama-3.3-70b,PASS,None,0.687
HumanEval/9,humaneval,llama-3.3-70b,PASS,None,0.71
HumanEval/10,humaneval,llama-3.3-70b,FAIL,AssertionError,0.687
HumanEval/11,humaneval,llama-3.3-70b,PASS,None,0.675
HumanEval/12,humaneval,llama-3.3-70b,PASS,None,0.59
HumanEval/13,humaneval,llama-3.3-70b,PASS,None,0.566
HumanEval/14,humaneval,llama-3.3-70b,PASS,None,0.505
HumanEval/15,humaneval,llama-3.3-70b,PASS,None,0.358
HumanEval/16,humaneval,llama-3.3-70b,PASS,None,0.35
HumanEval/17,humaneval,llama-3.3-70b,PASS,None,0.563
HumanEval/18,humaneval,llama-3.3-70b,PASS,None,0.427
HumanEval/19,humaneval,llama-3.3-70b,PASS,None,0.508
HumanEval/20,humaneval,llama-3.3-70b,PASS,None,0.554
HumanEval/21,humaneval,llama-3.3-70b,PASS,None,0.461
HumanEval/22,humaneval,llama-3.3-70b,PASS,None,0.458
HumanEval/23,humaneval,llama-3.3-70b,PASS,None,0.334
HumanEval/24,humaneval,llama-3.3-70b,PASS,None,0.398
HumanEval/25,humaneval,llama-3.3-70b,PASS,None,0.491
HumanEval/26,humaneval,llama-3.3-70b,PASS,None,0.499
HumanEval/27,humaneval,llama-3.3-70b,PASS,None,0.304
HumanEval/28,humaneval,llama-3.3-70b,PASS,None,0.467
HumanEval/29,humaneval,llama-3.3-70b,PASS,None,0.494
HumanEval/30,humaneval,llama-3.3-70b,PASS,None,0.403
HumanEval/31,humaneval,llama-3.3-70b,PASS,None,0.417
HumanEval/32,humaneval,llama-3.3-70b,FAIL,TimeoutError,1.177
HumanEval/33,humaneval,llama-3.3-70b,PASS,None,0.525
HumanEval/34,humaneval,llama-3.3-70b,PASS,None,0.313
HumanEval/35,humaneval,llama-3.3-70b,PASS,None,0.342
HumanEval/36,humaneval,llama-3.3-70b,PASS,None,0.474
HumanEval/37,humaneval,llama-3.3-70b,PASS,None,0.493
HumanEval/38,humaneval,llama-3.3-70b,PASS,None,0.65
HumanEval/39,humaneval,llama-3.3-70b,PASS,None,0.64
